Training: 2023-10-30 11:10:51,987-rank_id: 0
Training: 2023-10-30 11:52:07,206-Speed 1135.14 samples/sec   Loss 18.2547 ArcLoss 11.6726 MSE 6.5820  Epoch: 0   Global Step: 5450   Required: 44 hours
Training: 2023-10-30 11:52:24,098-Speed 1136.68 samples/sec   Loss 18.0178 ArcLoss 11.5134 MSE 6.5045  Epoch: 0   Global Step: 5500   Required: 44 hours
Training: 2023-10-30 11:52:41,285-Speed 1117.18 samples/sec   Loss 18.1198 ArcLoss 11.5949 MSE 6.5249  Epoch: 0   Global Step: 5550   Required: 44 hours
Training: 2023-10-30 11:52:58,395-Speed 1122.20 samples/sec   Loss 18.0018 ArcLoss 11.5002 MSE 6.5016  Epoch: 0   Global Step: 5600   Required: 44 hours
Training: 2023-10-30 11:53:15,525-Speed 1120.92 samples/sec   Loss 17.8751 ArcLoss 11.4182 MSE 6.4569  Epoch: 0   Global Step: 5650   Required: 44 hours
Training: 2023-10-30 11:53:54,726-[lfw][5686]XNorm: 6.243156
Training: 2023-10-30 11:53:54,726-[lfw][5686]Accuracy-Flip: 0.97950+-0.00860
Training: 2023-10-30 11:53:54,727-[lfw][5686]Accuracy-Highest: 0.97950
Training: 2023-10-30 11:54:20,165-[calfw][5686]XNorm: 6.216369
Training: 2023-10-30 11:54:20,166-[calfw][5686]Accuracy-Flip: 0.90433+-0.01306
Training: 2023-10-30 11:54:20,166-[calfw][5686]Accuracy-Highest: 0.90433
Training: 2023-10-30 11:54:45,687-[cplfw][5686]XNorm: 5.618258
Training: 2023-10-30 11:54:45,687-[cplfw][5686]Accuracy-Flip: 0.79083+-0.01955
Training: 2023-10-30 11:54:45,687-[cplfw][5686]Accuracy-Highest: 0.79083
Training: 2023-10-30 11:55:15,216-[cfp_fp][5686]XNorm: 5.543696
Training: 2023-10-30 11:55:15,216-[cfp_fp][5686]Accuracy-Flip: 0.83686+-0.01613
Training: 2023-10-30 11:55:15,216-[cfp_fp][5686]Accuracy-Highest: 0.83686
Training: 2023-10-30 11:55:40,595-[agedb_30][5686]XNorm: 5.992801
Training: 2023-10-30 11:55:40,595-[agedb_30][5686]Accuracy-Flip: 0.87917+-0.01403
Training: 2023-10-30 11:55:40,595-[agedb_30][5686]Accuracy-Highest: 0.87917
Training: 2023-10-30 11:55:45,258-Speed 128.23 samples/sec   Loss 17.9807 ArcLoss 11.4764 MSE 6.5043  Epoch: 0   Global Step: 5700   Required: 47 hours
Training: 2023-10-30 11:56:02,543-Speed 1110.80 samples/sec   Loss 17.9172 ArcLoss 11.4665 MSE 6.4507  Epoch: 0   Global Step: 5750   Required: 46 hours
Training: 2023-10-30 11:56:19,632-Speed 1123.57 samples/sec   Loss 17.7612 ArcLoss 11.3503 MSE 6.4109  Epoch: 0   Global Step: 5800   Required: 46 hours
Training: 2023-10-30 11:56:37,277-Speed 1088.23 samples/sec   Loss 17.6992 ArcLoss 11.3109 MSE 6.3884  Epoch: 0   Global Step: 5850   Required: 46 hours
Training: 2023-10-30 11:56:54,825-Speed 1094.16 samples/sec   Loss 17.7774 ArcLoss 11.3803 MSE 6.3971  Epoch: 0   Global Step: 5900   Required: 46 hours
Training: 2023-10-30 11:57:12,625-Speed 1078.73 samples/sec   Loss 17.7176 ArcLoss 11.3429 MSE 6.3746  Epoch: 0   Global Step: 5950   Required: 46 hours
Training: 2023-10-30 11:57:30,152-Speed 1095.55 samples/sec   Loss 17.7682 ArcLoss 11.3690 MSE 6.3992  Epoch: 0   Global Step: 6000   Required: 46 hours
Training: 2023-10-30 11:57:47,270-Speed 1121.69 samples/sec   Loss 17.6223 ArcLoss 11.2657 MSE 6.3566  Epoch: 0   Global Step: 6050   Required: 46 hours
Training: 2023-10-30 11:58:05,370-Speed 1060.79 samples/sec   Loss 17.6767 ArcLoss 11.3131 MSE 6.3636  Epoch: 0   Global Step: 6100   Required: 46 hours
Training: 2023-10-30 11:58:22,758-Speed 1104.29 samples/sec   Loss 17.5881 ArcLoss 11.2442 MSE 6.3438  Epoch: 0   Global Step: 6150   Required: 46 hours
Training: 2023-10-30 11:58:39,945-Speed 1117.16 samples/sec   Loss 17.6336 ArcLoss 11.3009 MSE 6.3328  Epoch: 0   Global Step: 6200   Required: 46 hours
Training: 2023-10-30 11:58:57,694-Speed 1081.82 samples/sec   Loss 17.4327 ArcLoss 11.1613 MSE 6.2714  Epoch: 0   Global Step: 6250   Required: 46 hours
Training: 2023-10-30 11:59:15,237-Speed 1094.53 samples/sec   Loss 17.5560 ArcLoss 11.2188 MSE 6.3372  Epoch: 0   Global Step: 6300   Required: 46 hours
Training: 2023-10-30 11:59:32,853-Speed 1089.98 samples/sec   Loss 17.5035 ArcLoss 11.2010 MSE 6.3024  Epoch: 0   Global Step: 6350   Required: 46 hours
Training: 2023-10-30 11:59:49,999-Speed 1119.85 samples/sec   Loss 17.2949 ArcLoss 11.0466 MSE 6.2483  Epoch: 0   Global Step: 6400   Required: 46 hours
Training: 2023-10-30 12:00:06,988-Speed 1130.21 samples/sec   Loss 17.4306 ArcLoss 11.1709 MSE 6.2597  Epoch: 0   Global Step: 6450   Required: 46 hours
Training: 2023-10-30 12:00:24,172-Speed 1117.37 samples/sec   Loss 17.4526 ArcLoss 11.1780 MSE 6.2745  Epoch: 0   Global Step: 6500   Required: 46 hours
Training: 2023-10-30 12:00:41,340-Speed 1118.45 samples/sec   Loss 17.2096 ArcLoss 11.0096 MSE 6.2000  Epoch: 0   Global Step: 6550   Required: 46 hours
Training: 2023-10-30 12:00:58,220-Speed 1137.48 samples/sec   Loss 17.2180 ArcLoss 11.0252 MSE 6.1928  Epoch: 0   Global Step: 6600   Required: 46 hours
Training: 2023-10-30 12:01:15,842-Speed 1089.59 samples/sec   Loss 17.1682 ArcLoss 10.9949 MSE 6.1733  Epoch: 0   Global Step: 6650   Required: 46 hours
Training: 2023-10-30 12:01:33,735-Speed 1073.13 samples/sec   Loss 17.1843 ArcLoss 10.9895 MSE 6.1948  Epoch: 0   Global Step: 6700   Required: 46 hours
Training: 2023-10-30 12:01:51,338-Speed 1090.79 samples/sec   Loss 17.1226 ArcLoss 10.9519 MSE 6.1707  Epoch: 0   Global Step: 6750   Required: 46 hours
Training: 2023-10-30 12:02:08,159-Speed 1141.49 samples/sec   Loss 17.1503 ArcLoss 10.9844 MSE 6.1659  Epoch: 0   Global Step: 6800   Required: 46 hours
Training: 2023-10-30 12:02:25,177-Speed 1128.27 samples/sec   Loss 17.0940 ArcLoss 10.9482 MSE 6.1458  Epoch: 0   Global Step: 6850   Required: 46 hours
